Time|C2|C#/Db2|D2|D#/Eb2|E2|F2|F#/Gb2|G2|G#/Ab2|A2|A#/Bb2|B2|C3|C#/Db3|D3|D#/Eb3|E3|F3|F#/Gb3|G3|G#/Ab3|A3|A#/Bb3|B3|C4|C#/Db4|D4|D#/Eb4|E4|F4|F#/Gb4|G4
80.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|0.375|""|""|0.375|""|""|""|""|1.875
80.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|4.125|""|""|""|""|0.375|""|""|""|0.375|""
81|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|2.25|""|""|""|1.125|""|""|1.125|""|""|""|""|2.25
82.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|5.25|""|""|""|""|""|""|1.125|""|""|""|""|3.375
83.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|1.125|""
84.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|0.375|""
84.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|5.25|""|""|""|""|""|""|""|""|0.375|""
85.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|0.375|""
85.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|3.375|""|""|""|1.125|""|""|""|""|""|""|""|1.875
86.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""
87.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|1.125|""|""|1.125|""|""|1.125|""|""
88.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|0.375|""|""|0.375|""|""|0.375|""|""
89.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|0.375|""|""|""|""|""|0.375|""|""
89.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|8.25|""|""|""|0.375|""|""|0.375|""|""|0.375|""|""
90|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|1.125|""|""|1.125|""|""
91.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|15.75|""|""|1.125|""|""|""|1.125|""|""|""
92.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|1.125|""|""|""|""|1.125|""|""
93.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.375|""|""|""|""|0.375|""|""
93.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""
94.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.375|""|""|""|""|0.375|""|""
94.5|""|""|""|""|""|""|""|""|""|""|""|""|2.25|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|1.125|""|""
95.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""
96.75|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|4.5|""|""|""|""|""|""|""|""|1.125|""|""|""
97.875|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.75
98.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|0.75
98.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|7.125
99|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""
100.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|1.125|""|""|""|""|1.125|""|""
101.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|""|""|""|1.125|""|""|""|""|""
102.375|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|0.375|""|""
102.75|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|0.375|""|""|""
103.125|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|0.375|""|""|""|""|""
103.5|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|4.5|""|""|""|""|""|""|""|""|0.75|""|""|""
104.625|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|1.125|""|""|1.875
105.75|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|0.375|""|""
106.125|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|0.375|""|""|1.875
106.5|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|3.75|""|""|""|""|""|0.375|""|""|0.375|""
106.875|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|2.25|""|""|""|""|""|""|""|""|1.125|""|""|4.125
108|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|9|""|""|""|""|1.125|""|""|""|1.125|""|""|""
109.125|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|5.625|""|""|""|""|""|""|1.125|""|""|""
110.25|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""
110.625|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|2.625
111|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|0.375|""|""
